cbb_code,size,cbb_name,category,sub_type,status,version,specification,unit,price,supplier,image_front_url,image_back_url,usage_count,created_at,updated_at
BX-HX-04,385mm*60mm,莱卡夹胶复合面料,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HX-04_front.png,./data/images/module_images/BK/BX-HX-04_reverse.png,,,
BX-HX-05,195mm*50mm,莱卡夹胶复合面料,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HX-05_front.png,,,,
BX-HX-10,475mm*265mm,双面复合摇粒绒,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HX-10_front.png,,,,
BX-HX-11,564.3mm*205.7mm,莱卡TPU复合面料,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HX-11_front.png,,,,
BX-HY-05,900mm*180mm,带孔亲肤复合面料,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HY-05_front.png,./data/images/module_images/BK/BX-HY-05_reverse.png,,,
BX-HY-06,1100mm*255mm,透气弹性复合面料,PATTERN,,ACTIVE,1,,,,博凯,,./data/images/module_images/BK/BX-HY-06_reverse.png,,,
BX-HW-03,245mm*50mm,方形弹力网布【升级不变形】,PATTERN,,ACTIVE,1,,,,博凯,,,,,
BX-HW-04,520mm*155mm,高弹透气针织布,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HW-04_front.png,,,,
BX-HW-05,450mm*55mm,莱卡高弹力针织布,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HW-05_front.png,./data/images/module_images/BK/BX-HW-05_reverse.png,,,
BX-HW-06,,N裸感布黑色对贴,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HW-06_front.png,,,,
BX-HW-09,195mm*180mm,透气网孔三明治布,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HW-09_front.png,./data/images/module_images/BK/BX-HW-09_reverse.png,,,
BX-HW-10,,透气网孔三明治布,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HW-10_front.png,,,,
BX-HW-10,,透气网孔三明治布,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HW-10_front.png,,,,
BX-HW-11,270mm*112.3mm,锦氨网眼布,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HW-11_front.png,,,,
BX-HW-12,420mm*67mm,锦氨小蝶网+高回弹TPU+超细OK灰色,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HW-12_front.png,./data/images/module_images/BK/BX-HW-12_reverse.png,,,
BX-HW-13,315.5mm*111.13mm,粘扣布背热熔胶黑色,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HW-13_front.png,,,,
BX-HH-01,150mm*210mm,亲肤带孔莱卡布,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HH-01_front.png,,,,
BX-HH-05,,打孔高弹力针织布复合,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HH-05_front.png,,,,
BX-HH-06,,三明治网布,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HH-06_front.png,,,,
BX-HH-07,,200克涤氨四面弹灰色,PATTERN,,ACTIVE,1,,,,博凯,./data/images/module_images/BK/BX-HH-07_front.png,,,,
02.01.01,-,网眼三明治（黑色F265三明治,FABRIC,三明治网布,ACTIVE,1,黑色,米,19.0,博凯,./data/images/module_images/BK/02.01.01_front.png,,,,
02.01.02,-,网眼三明治（灰色F265三明治,FABRIC,三明治网布,ACTIVE,1,灰色,米,19.0,博凯,./data/images/module_images/BK/02.01.02_front.png,,,,
02.02.01,,1.4牛巴哥黑色,FABRIC,皮革,ACTIVE,1,黑色,米,24.0,博凯,./data/images/module_images/BK/02.02.01_front.png,,,,
02.02.02,,1.4牛巴哥灰色,FABRIC,皮革,ACTIVE,1,灰色,米,24.0,博凯,./data/images/module_images/BK/02.02.02_front.png,,,,
02.02.03,,牛津布底细布纹革黑色,FABRIC,皮革,ACTIVE,1,黑色,米,16.0,博凯,./data/images/module_images/BK/02.02.03_front.png,,,,
02.02.04,,牛津布底细布纹革灰色改肤感硅胶17#灰色,FABRIC,皮革,ACTIVE,1,灰色,米,15.5,博凯,./data/images/module_images/BK/02.02.04_front.png,,,,
