id,categoryl1,categoryl2,categoryl3,version,brand,product_code,image_url,status
1,护腕,双向护腕,双向扭伤护腕,一代,TMT,HW35,./data/images/product_images/护腕/护腕_HW35_TMT.png,active
2,护腕,双向护腕,双向扭伤护腕,一代,SERUNA,HW35,./data/images/product_images/护腕/护腕_HW35_SERUNA.png,active
3,护腕,双向护腕,双向扭伤护腕,一代,JAFFICK,HW93,./data/images/product_images/护腕/护腕_HW93.png,active
4,护腕,双向护腕,双向扭伤护腕,二代,TMT,C-HW109,./data/images/product_images/护腕/护腕_C-HW109.png,active
5,护腕,双向护腕,双向扭伤护腕,二代,SERUNA,HW51,./data/images/product_images/护腕/护腕_HW51.png,active
6,护腕,双向护腕,双向扭伤护腕,二代,ANTA,9825372524R,./data/images/product_images/护腕/护腕_9825372524R.png,active
7,护腕,双向护腕,双向透气护腕,一代,TMT,HW89,./data/images/product_images/护腕/护腕_HW89.png,active
8,护腕,双向护腕,双向透气护腕,二代,SERUNA,C-HW115,,active
9,护腕,双向护腕,羽毛球双向护腕,一代,TMT,HW65,./data/images/product_images/护腕/护腕_HW65.png,active
10,护腕,双向护腕,腱鞘炎双向护腕,一代,TMT,HW87,./data/images/product_images/护腕/护腕_HW87.png,active
11,护腕,单向护腕,单向扭伤护腕,一代,TMT,HW27,./data/images/product_images/护腕/护腕_HW27_TMT.png,active
12,护腕,单向护腕,单向扭伤护腕,一代,SERUNA,HW27,./data/images/product_images/护腕/护腕_HW27_SERUNA.png,active
13,护腕,单向护腕,单向扭伤护腕,一代,ANTA,9825172527,./data/images/product_images/护腕/护腕_9825172527.png,active
14,护腕,单向护腕,单向扭伤护腕,二代,SERUNA,HW45,./data/images/product_images/护腕/护腕_HW45.png,active
15,护腕,单向护腕,单向网孔护腕,二代,ANTA,9825172529,./data/images/product_images/护腕/护腕_9825172529.png,active
16,护腕,单向护腕,单向双层护腕,二代,TMT,HW37,./data/images/product_images/护腕/护腕_HW37.png,active
17,护腕,单向护腕,单向双层护腕,二代,ANTA,9825172528,./data/images/product_images/护腕/护腕_9825172528.png,active
18,护腕,TFCC,轻薄TFCC,一代,TMT,HW25,./data/images/product_images/护腕/护腕_HW25_TMT.png,active
19,护腕,TFCC,轻薄TFCC,一代,SERUNA,HW25,./data/images/product_images/护腕/护腕_HW25_SERUNA.png,active
20,护腕,TFCC,轻薄TFCC,二代,TMT,C-HW49-T,./data/images/product_images/护腕/护腕_C-HW49-T.png,active
21,护腕,TFCC,轻薄TFCC,二代,SERUNA,HW49,./data/images/product_images/护腕/护腕_HW49.png,active
22,护腕,TFCC,轻薄TFCC,二代,JAFFICK,HW83,./data/images/product_images/护腕/护腕_HW83.png,active
23,护腕,TFCC,轻薄拇指腱鞘炎,一代,SERUNA,HW81,./data/images/product_images/护腕/护腕_HW81.png,active
24,护腕,TFCC,拇指腱鞘炎,一代,SERUNA,HW19,./data/images/product_images/护腕/护腕_HW19.png,active
25,护腕,TFCC,TFCC护腕,一代,TMT,HW23,./data/images/product_images/护腕/护腕_HW23_TMT.png,active
26,护腕,TFCC,TFCC护腕,一代,SERUNA,HW23,./data/images/product_images/护腕/护腕_HW23_SERUNA.png,active
27,护腕,TFCC,TFCC护腕,一代,JAFFICK,HW23,./data/images/product_images/护腕/护腕_HW23_JAFFICK.png,active
28,护腕,TFCC,压胶TFCC护腕,一代,TMT,HW53-T,./data/images/product_images/护腕/护腕_HW53-T.png,active
29,护腕,TFCC,压胶TFCC护腕,一代,SERUNA,HW53,./data/images/product_images/护腕/护腕_HW53.webp,active
30,护腕,TFCC,压胶TFCC护腕,一代,JAFFICK,C-HW107,./data/images/product_images/护腕/护腕_C-HW107.png,active
31,护腕,TFCC,胶牌TFCC护腕,一代,TMT,HW91,./data/images/product_images/护腕/护腕_HW91.jpeg,active
32,护腕,TFCC,双条TFCC护腕,一代,TMT,HW117,./data/images/product_images/护腕/护腕_HW117.png,active
33,护腕,针织护腕,针织运动护腕,一代,TMT,B10,./data/images/product_images/护腕/护腕_B10.png,active
34,护腕,针织护腕,针织运动护腕,一代,SERUNA,HW73,./data/images/product_images/护腕/护腕_HW73.png,active
35,护腕,针织护腕,针织保暖护腕1,一代,TMT,B29,./data/images/product_images/护腕/护腕_B29.webp,active
36,护腕,针织护腕,针织保暖护腕2,一代,TMT,HW13\B74\BS39,./data/images/product_images/护腕/护腕_HW13_B74_BS39.webp,active
37,护腕,针织护腕,针织保暖护腕3,一代,TMT,HW11,./data/images/product_images/护腕/护腕_HW11.webp,active
38,护腕,针织护腕,针织TFCC,一代,SERUNA,HW79,./data/images/product_images/护腕/护腕_HW79.png,active
39,护腕,针织护腕,针织TFCC,一代,JAFFICK,HW97,./data/images/product_images/护腕/护腕_HW97.png,active
40,护腕,针织护腕,针织TFCC,一代,TMT,HW103,./data/images/product_images/护腕/护腕_HW103.png,active
