序号,cbb_code,embedding_text
1,BX-HX-01-HB,日本护膝版型 仿OK+TPU+锦纶莱卡
2,BX-HX-02-HB,SERUNA SBR护膝版型 SBR复合布 透气针眼布
3,BX-HX-03-HB,SERUNA 单条髌骨带版型 打孔SBR
4,BX-HX-07-HB,SERUNA 双条髌骨带版型 打孔SBR
5,BX-HX-08-HB,SERUNA 半月板护膝版型 弹性透气复合面料
6,BX-HX-09-HB,PATTERN 高弹力针织布复合
7,BX-HX-12-HB,PATTERN 抓毛布复合面料
8,BX-HX-13-HB,PATTERN 抓毛布复合面料
9,BX-HX-14-HB,PATTERN 透气弹性复合面料
10,BX-HW-01-HB,PATTERN 高弹力针织布
11,BX-HW-02-HB,PATTERN 高弹力针织布
12,BX-HW-12-HB,PATTERN 高弹力针织布
13,BX-HW-14-HB,PATTERN 方形弹力网布
14,BX-HW-15-HB,PATTERN 复合OK布料
15,BX-HW-16-HB,PATTERN 抓毛布针织复合面料
16,BX-HW-17-HB,PATTERN 针织
17,BX-HH-02-HB,PATTERN 高弹力针织布
18,BX-HH-03-HB,PATTERN 打孔高弹力针织布
19,BX-HH-04-HB,PATTERN 打孔SBR
20,BX-HH-05-HB,PATTERN 抓毛布复合
21,BX-HH-06-HB,PATTERN 高弹力针织布复合
22,HB2026-S1,FABRIC 锦纶拉毛布【黑色】 拉毛布复合
23,HB2026-S2,FABRIC 锦纶拉毛布【肉色】 拉毛布复合
24,HB2026-S3,FABRIC 锦纶拉毛布【灰色】 拉毛布复合
25,HB2026-S4,FABRIC 双面复合锦纶拉毛布【黑色】 拉毛布复合
26,HB2026-S5,FABRIC 双面复合锦纶拉毛布【灰色】 拉毛布复合
27,HB2026-S65,FABRIC 粉色拉毛布【粉色】 拉毛布复合
28,HB2026-S6,FABRIC 仿OK+TPU+锦纶莱卡【灰色】 仿OK锦纶【复合】
29,HB2026-S7,FABRIC 锦纶起毛布+果冻胶+蝶网布【黑色】 锦纶起毛布【复合】
30,HB2026-S8,FABRIC 锦纶起毛布+果冻胶+蝶网布【灰色】 锦纶起毛布【复合】
31,HB2026-S9,FABRIC 双面蝶网布+果冻胶【灰色】 蝶网布
32,HB2026-S10,FABRIC 锦纶蝶网布【灰色】 蝶网布
33,HB2026-S11,FABRIC 冰感双面莱卡【黑色】 莱卡面料
34,HB2026-S12,FABRIC 冰感双面莱卡【灰色】 莱卡面料
35,HB2026-S13,FABRIC 双面复合裸感布【黑色】 裸感布
36,HB2026-S14,FABRIC 双面复合裸感布【肤色】 裸感布
37,HB2026-S15,FABRIC 双面复合裸感布【灰色】 裸感布
38,HB2026-S16,FABRIC 双面复合裸感布【灰色】 裸感布
39,HB2026-S17,FABRIC 裸感布复合热熔胶【黑色】 裸感布
40,HB2026-S18,FABRIC 裸感布复合热熔胶【肤色】 裸感布
41,HB2026-S19,FABRIC 仿OK+SBR白+尼龙布（全冲孔）【灰色】 SBR复合面料
42,HB2026-S20,FABRIC 仿OK+SBR白+尼龙布（SBR冲孔）【灰色】 SBR复合面料
43,HB2026-S21,FABRIC 双面尼龙布+SBR白（SBR冲孔）【肤色】 SBR复合面料
44,HB2026-S56,FABRIC 黑仿OK+SBR冲孔+蓝尼龙布【黑色】 SBR复合面料
45,HB2026-S59,FABRIC 灰仿OK+SBR+灰尼龙布【灰色】 SBR复合面料
46,HB2026-S61,FABRIC 提花毛巾布+SBR+仿OK【灰色】 SBR复合面料
47,HB2026-S67,FABRIC 仿OK+SBR+银离子布 SBR复合面料
48,HB2026-S68,FABRIC 锦纶莱卡+SBR+银离子布 SBR复合面料
49,HB2026-S57,FABRIC 黑仿OK+海绵+毛巾布 海绵复合面料
50,HB2026-S58,FABRIC 灰仿OK+海绵+毛巾布 海绵复合面料
51,HB2026-S60,FABRIC 锦纶莱卡+高密度海绵+尼龙布【灰色】 海绵复合面料
52,HB2026-S22,FABRIC 三明治网布【灰色】 三明治网布
53,HB2026-S36,FABRIC 三明治网布【黑色】 三明治网布
54,HB2026-S78,FABRIC 三明治网布【白色】 三明治网布
55,HB2026-S79,FABRIC 三明治网布【灰色】 三明治网布
56,HB2026-S80,FABRIC 三明治网布【灰色】 三明治网布
57,HB2026-S33,FABRIC 聚酯纤维网布【黑色】 网布
58,HB2026-S34,FABRIC 聚酯纤维网布【灰色】 网布
59,HB2026-S37,FABRIC 锦纶网布【黑色】 网布
60,HB2026-S38,FABRIC 锦纶网布【灰色】 网布
61,HB2026-S62,FABRIC PK布+SCR+锦纶莱卡【黑色】 scr复合
62,HB2026-S63,FABRIC 黑仿OK+TPU+黑锦纶莱卡【黑色】 仿OK+TPU面料
63,HB2026-S64,FABRIC 白仿OK+TPU+白锦纶莱卡【白色】 仿OK+TPU面料
64,HB2026-S32,FABRIC PU皮革【灰色】 皮革
65,HB2026-S66,FABRIC 压纹增强皮革【银色】 皮革
66,HB2026-S70,FABRIC 水晶氨纶（紫） 氨纶面料
67,HB2026-S71,FABRIC 水晶氨纶（蓝） 氨纶面料
68,HB2026-S25,VELCRO 尼龙细勾面 射出勾面
