序号,cbb_code,embedding_text
1,BX-HX-01-HB,日本护膝版型 仿OK+TPU+锦纶莱卡
2,BX-HX-02-HB,SERUNA SBR护膝版型 SBR复合布 透气针眼布
3,BX-HX-03-HB,SERUNA 单条髌骨带版型 打孔SBR
4,BX-HX-07-HB,SERUNA 双条髌骨带版型 打孔SBR
5,BX-HX-08-HB,SERUNA 半月板护膝版型 弹性透气复合面料
6,BX-HX-09-HB,SERUNA 前绑式半月板护膝版型 高弹力针织布复合
7,BX-HX-12-HB,SERUNA 绑带式运动护膝版型 抓毛布复合面料
8,BX-HX-13-HB,SERUNA TFCC护膝版型 抓毛布复合面料
9,BX-HX-14-HB,SERUNA 蝉翼护腰版型 透气弹性复合面料
10,BX-HW-01-HB,SERUNA 扭伤护腕版型 白色 高弹力针织布
11,BX-HW-02-HB,SERUNA 扭伤护腕版型 黑色 高弹力针织布
12,BX-HW-12-HB,SERUNA TFCC护腕版型 高弹力针织布
13,BX-HW-14-HB,SERUNA TFCC轻薄护腕版型 方形弹力网布
14,BX-HW-15-HB,SERUNA TFCC护腕版型 复合OK布料
15,BX-HW-16-HB,SERUNA 针织TFCC护腕版型 抓毛布针织复合面料
16,BX-HW-17-HB,SERUNA 加厚扭伤护腕版型 针织
17,BX-HH-02-HB,SERUNA 扭伤护踝版型 高弹力针织布
18,BX-HH-03-HB,SERUNA 1.5代扭伤护踝版型 打孔高弹力针织布
19,BX-HH-04-HB,SERUNA 骨折护踝版型 打孔SBR
20,BX-HH-05-HB,SERUNA 骨折护踝版型 单侧防护 抓毛布复合
21,BX-HH-06-HB,SERUNA 运动扭伤护踝版型 高弹力针织布复合
22,HB2026-S1,面料 锦纶拉毛布 黑色 保暖 耐磨 亲肤
23,HB2026-S2,面料 锦纶拉毛布 肉色 保暖 耐磨 亲肤
24,HB2026-S3,面料 锦纶拉毛布 灰色 保暖 耐磨 亲肤
25,HB2026-S4,面料 双面复合锦纶拉毛布 黑色 保暖 耐磨 复合 双面
26,HB2026-S5,面料 双面复合锦纶拉毛布 灰色 保暖 耐磨 复合 双面
27,HB2026-S65,面料 粉色拉毛布 粉色 保暖 耐磨 亲肤
28,HB2026-S6,面料 仿OK+TPU+锦纶莱卡 灰色 透气 防水 高弹 耐磨
29,HB2026-S7,面料 锦纶起毛布+果冻胶+蝶网布 黑色 保暖 透气 复合 耐磨
30,HB2026-S8,面料 锦纶起毛布+果冻胶+蝶网布 灰色 保暖 透气 复合 耐磨
31,HB2026-S9,面料 双面蝶网布+果冻胶 灰色 透气 复合 轻薄 双面
32,HB2026-S10,面料 锦纶蝶网布 灰色 透气 耐磨 轻薄
33,HB2026-S11,面料 冰感双面莱卡 黑色 凉感 高弹 亲肤 双面
34,HB2026-S12,面料 冰感双面莱卡 灰色 凉感 高弹 亲肤 双面
35,HB2026-S13,面料 双面复合裸感布 黑色 裸感 亲肤 复合 双面
36,HB2026-S14,面料 双面复合裸感布 肤色 裸感 亲肤 复合 双面
37,HB2026-S15,面料 双面复合裸感布 灰色 裸感 亲肤 复合 双面
38,HB2026-S16,面料 双面复合裸感布 深灰色 裸感 亲肤 复合 双面
39,HB2026-S17,面料 裸感布复合热熔胶 黑色 裸感 亲肤 粘合 复合
40,HB2026-S18,面料 裸感布复合热熔胶 肤色 裸感 亲肤 粘合 复合
41,HB2026-S19,面料 仿OK+SBR白+尼龙布 全冲孔 灰色 缓冲 透气 耐磨 轻便
42,HB2026-S20,面料 仿OK+SBR白+尼龙布 SBR冲孔 灰色 缓冲 透气 耐磨 轻便
43,HB2026-S21,面料 双面尼龙布+SBR白 SBR冲孔 肤色 缓冲 透气 耐磨 双面
44,HB2026-S56,面料 黑仿OK+SBR冲孔+蓝尼龙布 黑色 缓冲 透气 耐磨 轻便
45,HB2026-S59,面料 灰仿OK+SBR+灰尼龙布 灰色 缓冲 透气 耐磨 轻便
46,HB2026-S61,面料 提花毛巾布+SBR+仿OK 灰色 吸湿 缓冲 透气 耐磨
47,HB2026-S67,面料 仿OK+SBR+银离子布 透气 缓冲 抗菌 耐磨
48,HB2026-S68,面料 锦纶莱卡+SBR+银离子布 高弹 缓冲 抗菌 耐磨
49,HB2026-S57,面料 黑仿OK+海绵+毛巾布 透气 柔软 吸湿 轻便
50,HB2026-S58,面料 灰仿OK+海绵+毛巾布 透气 柔软 吸湿 轻便
51,HB2026-S60,面料 锦纶莱卡+高密度海绵+尼龙布 灰色 高弹 支撑 柔软 耐磨
52,HB2026-S22,面料 三明治网布 灰色 透气 立体 支撑 轻便
53,HB2026-S36,面料 三明治网布 黑色 透气 立体 支撑 轻便
54,HB2026-S78,面料 三明治网布 白色 透气 立体 支撑 轻便
55,HB2026-S79,面料 三明治大孔网布 深灰色 透气 立体 支撑 轻便
56,HB2026-S80,面料 三明治大孔网布 灰色 透气 立体 支撑 轻便
57,HB2026-S33,面料 聚酯纤维网布 黑色 透气 耐用 轻便
58,HB2026-S34,面料 聚酯纤维网布 灰色 透气 耐用 轻便
59,HB2026-S37,面料 锦纶网布 黑色 透气 耐磨 轻便
